Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
63990,71118.847219855,02/25/2016 05:12:41,63315.9406275962,6,1,-0.100054360926151,3.39253234863281,0.024662934672114,1.75615189357056,0.103588836207299,6.52557893414833,-6.48021668894216E-05,0.0987843573093414,0,0,0
63991,71119.8628218842,02/25/2016 05:12:42,63316.9562295552,6,1,-0.0998745411634445,3.3926944732666,0.024662934672114,1.75618005177923,0.103588836207299,6.52567446641611,-3.23772437695879E-05,0.0987843573093414,0,0,0
63992,71120.8628828447,02/25/2016 05:12:43,63317.9562905458,6,1,-0.0996947214007378,3.3926944732666,0.024662934672114,1.7562077932804,0.103588836207299,6.52576858400925,-3.23772437695879E-05,0.0987843573093414,0,0,0
63993,71121.8629234747,02/25/2016 05:12:44,63318.9563312259,6,1,-0.0996947214007378,3.3926944732666,0.024662934672114,1.75623552564218,0.103588836207299,6.5258626696822,0,0.0987843573093414,0,0,0
63994,71122.8783838175,02/25/2016 05:12:45,63319.9717914334,6,1,-0.0998745411634445,3.39253234863281,0.024662934672114,1.75626369124565,0.103588836207299,6.52595822514158,-6.48021668894216E-05,0.0987843573093414,0,0,0
63995,71123.8940741208,02/25/2016 05:12:46,63320.9874818319,6,1,-0.0998745411634445,3.39253234863281,0.024662934672114,1.7562918519452,0.103588836207299,6.5260537635755,-3.24249267578125E-05,0.0987843573093414,0,0,0
63996,71124.9097497827,02/25/2016 05:12:47,63322.0031575289,6,1,-0.0998745411634445,3.3926944732666,0.024662934672114,1.75632002897995,0.103588836207299,6.52614935704325,0,0.0987843573093414,0,0,0
63997,71125.9252520344,02/25/2016 05:12:48,63323.0186597054,6,1,-0.0998745411634445,3.3926944732666,0.024662934672114,1.75634819691328,0.103588836207299,6.52624491861639,3.24249267578125E-05,0.0987843573093414,0,0,0
63998,71126.9408649858,02/25/2016 05:12:49,63324.0342726518,6,1,-0.0998745411634445,3.39253234863281,0.024662934672114,1.75637636247208,0.103588836207299,6.52634047128885,-3.24249267578125E-05,0.0987843573093414,0,0,0
63999,71127.9564534013,02/25/2016 05:12:50,63325.0498610522,6,1,-0.099514901638031,3.3926944732666,0.024662934672114,1.75640453045682,0.103588836207299,6.52643603162889,0,0.0987843573093414,0,0,0
64000,71128.9566280788,02/25/2016 05:12:51,63326.0500359353,6,1,-0.0996947214007378,3.39237022399902,0.024662934672114,1.75643227510392,0.103588836207299,6.52653015550236,-3.24249267578125E-05,0.0987843573093414,0,0,0
64001,71129.9720388787,02/25/2016 05:12:52,63327.0654465196,6,1,-0.100054360926151,3.39237022399902,0.024662934672114,1.75645999996224,0.103588836207299,6.52662421248667,0,0.0987843573093414,0,0,0
64002,71130.9877119542,02/25/2016 05:12:53,63328.0811195901,6,1,-0.100054360926151,3.39237022399902,0.024662934672114,1.75648859289282,0.103588836207299,6.52672121401459,-6.4849853515625E-05,0.0987843573093414,0,0,0
64003,71132.0032536037,02/25/2016 05:12:54,63329.0966612547,6,1,-0.0998745411634445,3.39253234863281,0.024662934672114,1.75651676078612,0.103588836207299,6.52681677263803,3.24249267578125E-05,0.0987843573093414,0,0,0
64004,71133.0190455441,02/25/2016 05:12:55,63330.1124533003,6,1,-0.0998745411634445,3.39237022399902,0.024662934672114,1.75654493402333,0.103588836207299,6.52691234886708,0,0.0987843573093414,0,0,0
64005,71134.0344718174,02/25/2016 05:12:56,63331.1278794132,6,1,-0.0998745411634445,3.39237022399902,0.024662934672114,1.756573095949,0.103588836207299,6.5270078860165,-3.24249267578125E-05,0.0987843573093414,0,0,0
64006,71135.0500930493,02/25/2016 05:12:57,63332.1435007854,6,1,-0.0996947214007378,3.39237022399902,0.024662934672114,1.75660125783435,0.103588836207299,6.52710342243293,-3.24249267578125E-05,0.0987843573093414,0,0,0
64007,71136.0657025771,02/25/2016 05:12:58,63333.1591102982,6,1,-0.0998745411634445,3.39237022399902,0.024662934672114,1.75662943421217,0.103588836207299,6.52719900657676,0,0.0987843573093414,0,0,0
64008,71137.0658167346,02/25/2016 05:12:59,63334.1592244757,6,1,-0.0998745411634445,3.39237022399902,0.024662934672114,1.75665717719544,0.103588836207299,6.52729312051079,-3.24249267578125E-05,0.0987843573093414,0,0,0
