Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0150987954734,02/24/2016 09:48:53,60.0150993769158,1,1,0,4.15405941009522,0,0,0,0,-3.24249267578125E-05,0,0,0,0
2,60.0155850267336,02/24/2016 09:48:53,0.00000254130439,2,1,0.999353229999542,4.24704265594482,7.05461E-10,0,0.000000002996124,0,0,0,0,0,0
3,70.0314219127845,02/24/2016 09:49:03,10.0155350762468,3,1,0.339846312999725,4.19974088668823,0.000993305583255,0,0.004171633909246,0,0,0,0,0,0
4,80.0468411516656,02/24/2016 09:49:13,20.0309540143818,3,1,0.317352890968323,4.19990301132202,0.001905516599095,0,0.0080027128912,0,3.24249267578125E-05,0,0,0,0
5,90.0625114784378,02/24/2016 09:49:23,30.0466246469125,3,1,0.30079773068428,4.19990301132202,0.002764219718913,0,0.011609069017669,0,3.24249267578125E-05,0,0,0,0
6,100.077889981262,02/24/2016 09:49:33,40.0620031647742,3,1,0.287661582231522,4.19974088668823,0.003581946673115,0,0.015043342499386,0,0,0,0,0,0
7,110.093393268648,02/24/2016 09:49:43,50.0775064521602,3,1,0.276504844427109,4.19974088668823,0.004366255484181,0,0.018337260263029,0,0,0,0,0,0
8,120.10889914245,02/24/2016 09:49:53,60.0930122958879,3,1,0.267327547073364,4.19974088668823,0.00512254021319,0,0.021513498115627,0,3.23295607813634E-05,0,0,0,0
9,130.124397367277,02/24/2016 09:50:03,70.1085106159511,3,1,0.259049952030182,4.19974088668823,0.005854742219607,0,0.024588583872996,0,0,0,0,0,0
10,140.140775760599,02/24/2016 09:50:14,80.1248890443601,3,1,0.251852065324783,4.19974088668823,0.006565649512057,0,0.027574237335398,0,-3.24249267578125E-05,0,0,0,0
