Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0147300675142,11/04/2015 19:55:57,60.0147303582376,1,1,0,3.93820762634277,0,0,0,0,0,0,0,0,0
2,70.0150369342247,11/04/2015 19:56:07,10.000068560996,2,1,0.999833703041077,4.02012205123901,0.002777480314045,0,0.011153909633401,0,0.000744724296964705,0,0,0,0
3,80.0152685108789,11/04/2015 19:56:17,20.0003002078249,2,1,0.999833703041077,4.02546405792236,0.005554985585099,0,0.022328217152328,0,0.000420856464188546,0,0,0,0
4,90.0308337898616,11/04/2015 19:56:27,30.0158654968325,2,1,1.00001430511475,4.0293493270874,0.008336708655741,0,0.033531804233959,0,0.000323772430419922,0,0,0,0
5,100.046321977004,11/04/2015 19:56:37,40.0313536839751,2,1,0.999833703041077,4.03226327896118,0.011118466804052,0,0.0447446305544,0,0.000259017950156704,0,0,0,0
6,110.06153224255,11/04/2015 19:56:47,50.0465639495205,2,1,0.999833703041077,4.03469133377075,0.013895893670855,0,0.055947353739334,0,0.000194168096641079,0,0,0,0
7,120.077568368216,11/04/2015 19:56:57,60.0626000801996,2,1,0.999833703041077,4.03679609298706,0.016681920531821,0,0.067191118650637,0,0.000226688382099383,0,0,0,0
8,130.092965799516,11/04/2015 19:57:07,70.0779975064873,2,1,1.00001430511475,4.03890037536621,0.01946360826024,0,0.078423159272862,0,0.000193663683603518,0,0,0,0
9,140.093073207181,11/04/2015 19:57:17,80.0781050093888,2,1,0.999833703041077,4.0406813621521,0.022241084807761,0,0.089643547173621,0,0.000159932664246298,0,0,0,0
10,150.108163368852,11/04/2015 19:57:27,90.0931950808358,2,1,1.00001430511475,4.04246187210083,0.025018449496788,0,0.100868674492295,0,0.000161838528583758,0,0,0,0
11,160.108497981909,11/04/2015 19:57:37,100.093529703917,2,1,0.999833703041077,4.04424285888672,0.027800237074299,0,0.112116694769594,0,0.000161933901836164,0,0,0,0
12,170.124030228692,11/04/2015 19:57:47,110.109061935663,2,1,1.00001430511475,4.04618549346924,0.030581950563617,0,0.123369371458724,0,0.00019426345534157,0,0,0,0
13,180.139571177129,11/04/2015 19:57:57,120.124602889113,2,1,0.999833703041077,4.04780435562134,0.03336367232451,0,0.134626978566018,0,0.000129508975078352,0,0,0,0
14,190.155141408436,11/04/2015 19:58:07,130.140173135456,2,1,1.00001430511475,4.04974699020386,0.036145406217196,0,0.14588944082023,0,0.00019426345534157,0,0,0,0
15,200.170604864035,11/04/2015 19:58:17,140.155636560981,2,1,0.999653100967407,4.05120372772217,0.038927082205209,0,0.15715643558671,0,0.000194249310879968,0,0,0,0
16,210.170630478159,11/04/2015 19:58:27,150.155662190142,2,1,1.00001430511475,4.05314636230469,0.041704466326611,0,0.168410743498369,0,0.000161838528583758,0,0,0,0
17,220.186321063963,11/04/2015 19:58:37,160.171352896246,2,1,1.00001430511475,4.05476522445679,0.044486219946037,0,0.179687557767912,0,0.00019426345534157,0,0,0,0
18,230.201396047865,11/04/2015 19:58:48,170.1864275794,2,1,0.999833703041077,4.05654621124268,0.047267798142417,0,0.19096832371694,0,0.00019426345534157,0,0,0,0
19,240.201968352408,11/04/2015 19:58:58,180.187000064391,2,1,0.999833703041077,4.05800294876099,0.050045352528802,0,0.202237489243138,0,0.000129508975078352,0,0,0,0
20,250.216721640783,11/04/2015 19:59:08,190.201753352766,2,1,0.999653100967407,4.05946016311646,0.052822719312281,0,0.213510565874623,0,9.71794142969884E-05,0,0,0,0
21,260.21676134497,11/04/2015 19:59:18,200.201793056953,2,1,1.00001430511475,4.06140279769897,0.055600082604819,0,0.224788083816688,0,0.000161933901836164,0,0,0,0
22,270.232656865747,11/04/2015 19:59:28,210.21768857773,2,1,0.999833703041077,4.06302165985107,0.058386034488856,0,0.236105150177993,0,0.000160939089255407,0,0,0,0
23,280.248283702914,11/04/2015 19:59:38,220.233315414898,2,1,0.999833703041077,4.06464052200317,0.061167739772254,0,0.247409595574978,0,0.000161933901836164,0,0,0,0
24,290.263825724021,11/04/2015 19:59:48,230.248857451042,2,1,0.999833703041077,4.0664210319519,0.063949372526648,0,0.258718429558159,0,0.000161838528583758,0,0,0,0
25,300.279381188581,11/04/2015 19:59:58,240.264412910589,2,1,0.999653100967407,4.068039894104,0.066731043925504,0,0.270032073043409,0,0.000129508975078352,0,0,0,0
26,310.294940618007,11/04/2015 20:00:08,250.279972345028,2,1,1.00001430511475,4.06982088088989,0.069512752045467,0,0.281350522325354,0,0.000161933901836164,0,0,0,0
27,320.295047489337,11/04/2015 20:00:18,260.280079251445,2,1,0.999833703041077,4.0712776184082,0.072290185725138,0,0.292656189246764,0,0.000129508975078352,0,0,0,0
28,330.310425988525,11/04/2015 20:00:28,270.295457695496,2,1,1.00001430511475,4.07305860519409,0.075071816921554,0,0.303983539614329,0,0.000129508975078352,0,0,0,0
29,340.325956285456,11/04/2015 20:00:38,280.310987992427,2,1,0.999833703041077,4.07467746734619,0.077853473114038,0,0.315315597074336,0,0.000129508975078352,0,0,0,0
30,350.341517163487,11/04/2015 20:00:48,290.326548865446,2,1,0.999833703041077,4.07629632949829,0.080635168790913,0,0.32665244782689,0,0.000129508975078352,0,0,0,0
31,360.357055355064,11/04/2015 20:00:58,300.342087062035,2,1,0.999833703041077,4.07807683944702,0.083416869450017,0,0.33799390707138,0,0.000129508975078352,0,0,0,0
32,370.372623491157,11/04/2015 20:01:08,310.357655198128,2,1,0.999653100967407,4.07953405380249,0.086198562755061,0,0.349339965855393,0,0.000129508975078352,0,0,0,0
33,380.38818058477,11/04/2015 20:01:18,320.373212296754,2,1,0.999653100967407,4.08115291595459,0.088980287421306,0,0.360690836325284,0,9.71794142969884E-05,0,0,0,0
34,390.403757407479,11/04/2015 20:01:28,330.388789119463,2,1,1.00001430511475,4.08293342590332,0.091761993289122,0,0.372046078192769,0,0.000161838528583758,0,0,0,0
35,400.419297273222,11/04/2015 20:01:38,340.40432899523,2,1,0.999833703041077,4.08455228805542,0.094543703058154,0,0.383405990333224,0,0.000161838528583758,0,0,0,0
36,410.434750092353,11/04/2015 20:01:48,350.419781809349,2,1,0.999833703041077,4.08633327484131,0.097325380777965,0,0.394770392335255,0,0.000129508975078352,0,0,0,0
37,420.43477994703,11/04/2015 20:01:58,360.419811654001,2,1,0.999833703041077,4.08795213699341,0.100102753875184,0,0.406121720066564,0,0.000161933901836164,0,0,0,0
38,430.449706987781,11/04/2015 20:02:08,370.434738694752,2,1,0.999833703041077,4.08940887451172,0.102793321955067,0,0.417122672081325,0,0.000129508975078352,0,0,0,0
39,440.450245909251,11/04/2015 20:02:18,380.435277631259,2,1,1.00001430511475,4.09135150909424,0.105661787192609,0,0.428855748634503,0,0.000161838528583758,0,0,0,0
40,450.465428531006,11/04/2015 20:02:28,390.450460343239,2,1,0.999833703041077,4.09297037124634,0.108439108912766,0,0.440220603348815,0,0.000161838528583758,0,0,0,0
41,460.465739765887,11/04/2015 20:02:38,400.45077147787,2,1,1.00001430511475,4.09458923339844,0.111220796175807,0,0.451607899502228,0,0.00019426345534157,0,0,0,0
42,470.481361961504,11/04/2015 20:02:48,410.466393688525,2,1,1.00001430511475,4.09620809555054,0.114002549547051,0,0.463000079861665,0,0.000129508975078352,0,0,0,0
43,480.496859176111,11/04/2015 20:02:58,420.481890888095,2,1,0.999833703041077,4.09782695770264,0.116784220367384,0,0.474396506426359,0,0.000161838528583758,0,0,0,0
44,490.51240272101,11/04/2015 20:03:08,430.497434458055,2,1,0.999833703041077,4.09944581985474,0.119565897497524,0,0.485797535113213,0,0.000129508975078352,0,0,0,0
45,500.527968145354,11/04/2015 20:03:18,440.51299986235,2,1,0.999833703041077,4.10106468200684,0.122347658618045,0,0.497203524094691,0,0.000129508975078352,0,0,0,0
46,510.543551178517,11/04/2015 20:03:28,450.528582915563,2,1,0.999653100967407,4.10252189636231,0.125129419573005,0,0.508614035660252,0,9.71794142969884E-05,0,0,0,0
47,520.558715444595,11/04/2015 20:03:38,460.543747156578,2,1,0.999833703041077,4.10446453094482,0.127906767070761,0,0.520011054061683,0,0.000161933901836164,0,0,0,0
48,530.55923082749,11/04/2015 20:03:48,470.544262544486,2,1,0.999833703041077,4.10608339309692,0.130688525828304,0,0.53143071783275,0,0.000129508975078352,0,0,0,0
49,540.574674398607,11/04/2015 20:03:58,480.559706125628,2,1,0.999833703041077,4.10770225524902,0.13347013202917,0,0.542854339159562,0,0.000129508975078352,0,0,0,0
50,550.574787154581,11/04/2015 20:04:08,490.559818906664,2,1,0.999833703041077,4.10948276519775,0.136247550524753,0,0.554265379873239,0,0.000161838528583758,0,0,0,0
51,560.589886544216,11/04/2015 20:04:18,500.574918261212,2,1,0.999833703041077,4.11093997955322,0.139029172459439,0,0.565698296306973,0,0.000129508975078352,0,0,0,0
52,570.605671138957,11/04/2015 20:04:28,510.590702865978,2,1,0.999833703041077,4.11255884170532,0.141806514018223,0,0.577118195966657,0,0.000129508975078352,0,0,0,0
53,580.621143747333,11/04/2015 20:04:38,520.606175444279,2,1,1.00019490718842,4.11433935165405,0.144592620353906,0,0.588578676048252,0,0.000161838528583758,0,0,0,0
54,590.636737186391,11/04/2015 20:04:48,530.621768913411,2,1,1.00001430511475,4.11595821380615,0.147374302292361,0,0.600025566901688,0,0.000193662010133266,0,0,0,0
55,600.652236375912,11/04/2015 20:04:58,540.637268112958,2,1,0.999653100967407,4.11757707595825,0.150155961539048,0,0.611477042685856,0,0.00016142961976584,0,0,0,0
56,610.667821860175,11/04/2015 20:05:08,550.652853572158,2,1,0.999833703041077,4.11919593811035,0.15293762044668,0,0.622933022220647,0,0.000161933901836164,0,0,0,0
57,620.66782390565,11/04/2015 20:05:18,560.65285573292,2,1,0.999833703041077,4.12097644805908,0.155714959295883,0,0.634375829609449,0,0.000161838528583758,0,0,0,0
58,630.683316253145,11/04/2015 20:05:28,570.668347975154,2,1,1.00001430511475,4.12259531021118,0.158496649927348,0,0.645841200871095,0,0.000161838528583758,0,0,0,0
59,640.683321020393,11/04/2015 20:05:38,580.668352812576,2,1,0.999833703041077,4.12421417236328,0.161274048643416,0,0.657293414528317,0,0.000129508975078352,0,0,0,0
60,650.698904645028,11/04/2015 20:05:48,590.683936472298,2,1,1.00001430511475,4.12583303451538,0.164055780815614,0,0.668768130477862,0,0.000161838528583758,0,0,0,0
61,660.713932687117,11/04/2015 20:05:58,600.698964399101,2,1,0.999833703041077,4.12761402130127,0.166833143149205,0,0.68022944923144,0,0.00019426345534157,0,0,0,0
62,670.714332763076,11/04/2015 20:06:08,610.699364565284,2,1,0.999833703041077,4.12923288345337,0.169614847842359,0,0.691713324329531,0,0.000161933901836164,0,0,0,0
63,680.729478748663,11/04/2015 20:06:18,620.714510460646,2,1,0.999833703041077,4.13085174560547,0.172392183319613,0,0.703183790424512,0,0.000129508975078352,0,0,0,0
64,690.729619895286,11/04/2015 20:06:28,630.714651607269,2,1,0.999833703041077,4.1326322555542,0.175169568208163,0,0.714659135915803,0,0.000161838528583758,0,0,0,0
65,700.729710771813,11/04/2015 20:06:38,640.714742498834,2,1,0.999833703041077,4.1342511177063,0.177951219135603,0,0.726156694903873,0,0.000193058935110457,0,0,0,0
66,710.745278486858,11/04/2015 20:06:48,650.730310314128,2,1,0.999833703041077,4.13570833206177,0.180732899772517,0,0.737658986411496,0,0.000161933901836164,0,0,0,0
67,720.760452903194,11/04/2015 20:06:58,660.745484705402,2,1,0.999833703041077,4.13765096664429,0.183510244632138,0,0.749148010258816,0,0.000193058731383644,0,0,0,0
68,730.760899149044,11/04/2015 20:07:08,670.745930966289,2,1,0.999833703041077,4.13926982879639,0.186291991661026,0,0.760659909732164,0,0.000161933901836164,0,0,0,0
69,740.776271242291,11/04/2015 20:07:18,680.761302954275,2,1,1.00001430511475,4.14105033874512,0.189073625120901,0,0.772176065708447,0,0.000193059779121541,0,0,0,0
70,750.79184994969,11/04/2015 20:07:28,690.776881666686,2,1,0.999653100967407,4.14250755310059,0.191855341294801,0,0.783697214471346,0,0.000161933901836164,0,0,0,0
71,760.791949297298,11/04/2015 20:07:38,700.776981029331,2,1,0.999833703041077,4.14428806304932,0.194632735691143,0,0.795205124484116,0,0.000161838528583758,0,0,0,0
72,770.807410557433,11/04/2015 20:07:48,710.792442294479,2,1,0.999833703041077,4.14590692520142,0.197414398114609,0,0.806735693506637,0,9.70840483205393E-05,0,0,0,0
73,780.822890744668,11/04/2015 20:07:58,720.807922481714,2,1,0.999833703041077,4.14768791198731,0.200196048548185,0,0.818270883342772,0,0.000161933901836164,0,0,0,0
74,790.838442169175,11/04/2015 20:08:08,730.823473881158,2,1,0.999833703041077,4.14946842193604,0.202977710527768,0,0.829810858229051,0,0.000161838528583758,0,0,0,0
75,800.853987884474,11/04/2015 20:08:18,740.839019596457,2,1,0.999833703041077,4.15108728408814,0.205759410536292,0,0.841355765633309,0,0.000161838528583758,0,0,0,0
76,810.869577494002,11/04/2015 20:08:28,750.854609221023,2,1,0.999833703041077,4.15270614624023,0.208541076535881,0,0.852905211289355,0,0.000129508975078352,0,0,0,0
77,820.885109555324,11/04/2015 20:08:38,760.870141262295,2,1,1.00001430511475,4.15464878082275,0.211322744089073,0,0.864459430333374,0,0.000161838528583758,0,0,0,0
78,830.900660418434,11/04/2015 20:08:48,770.885692130417,2,1,0.999833703041077,4.15626764297485,0.214104425562432,0,0.876018458014013,0,0.000129508975078352,0,0,0,0
79,840.916204459567,11/04/2015 20:08:58,780.901236166538,2,1,0.999653100967407,4.15788650512695,0.216886121557597,0,0.887582290069606,0,0.000129508975078352,0,0,0,0
80,850.931526924315,11/04/2015 20:09:08,790.916558621261,2,1,0.999653100967407,4.15966749191284,0.219663479885378,0,0.899132872599045,0,0.000129508975078352,0,0,0,0
81,860.947324135452,11/04/2015 20:09:18,800.932355837411,2,1,0.999833703041077,4.16144800186157,0.222449469466863,0,0.910724196251201,0,0.000161838528583758,0,0,0,0
82,870.96287819652,11/04/2015 20:09:28,810.947909923541,2,1,1.00001430511475,4.16322898864746,0.225231158090415,0,0.922302413839576,0,0.000161933901836164,0,0,0,0
83,880.978530652439,11/04/2015 20:09:38,820.963562369435,2,1,0.999833703041077,4.16468572616577,0.22801287533822,0,0.93388551415061,0,0.000129508975078352,0,0,0,0
84,890.994015786985,11/04/2015 20:09:48,830.979047508994,2,1,1.00001430511475,4.16662836074829,0.230794587158516,0,0.945473521128418,0,0.000129508975078352,0,0,0,0
85,901.00954769292,11/04/2015 20:09:58,840.994579399891,2,1,0.999833703041077,4.16824722290039,0.233576266839726,0,0.957066156613111,0,0.000129508975078352,0,0,0,0
