Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,7200.01556557626,11/06/2015 22:07:00,7200.01556618778,1,1,0,3.41175532341003,0,0,0,0,0,0,0,0,0
2,7210.031692185,11/06/2015 22:07:10,10.0155794743072,2,1,0.999833703041077,3.51730465888977,0.0027817560719,0,0.009761296113389,0,0.00129504199139774,0,0,0,0
3,7220.04705476959,11/06/2015 22:07:20,20.0309420538802,2,1,0.999833703041077,3.52766537666321,0.005563489097329,0,0.019560638314104,0,0.000874185585416853,0,0,0,0
4,7230.04712777163,11/06/2015 22:07:30,30.0310150609401,2,1,0.999833703041077,3.5355978012085,0.00834092947179,0,0.029370177084891,0,0.000710092252120376,0,0,0,0
5,7240.04719880879,11/06/2015 22:07:40,40.031086098098,2,1,1.00001430511475,3.54207324981689,0.01111837083434,0,0.039199389177237,0,0.000582790351472795,0,0,0,0
6,7250.06274849898,11/06/2015 22:07:50,50.0466358283883,2,1,1.00001430511475,3.54676795005798,0.013900105228482,0,0.049059159129324,0,0.000420904165366665,0,0,0,0
7,7260.07795330093,11/06/2015 22:08:00,60.0618405701881,2,1,0.999833703041077,3.55016756057739,0.016677454221869,0,0.058914829357467,0,0.000291395175736398,0,0,0,0
8,7270.07819916815,11/06/2015 22:08:10,70.0620864674787,2,1,0.999833703041077,3.55259585380554,0.019459209224926,0,0.068794313556141,0,0.00019426345534157,0,0,0,0
9,7280.09376359,11/06/2015 22:08:20,80.0776509194033,2,1,0.999833703041077,3.55453848838806,0.02224092224559,0,0.078679499233887,0,0.000161886215209961,0,0,0,0
10,7290.10928843837,11/06/2015 22:08:30,90.0931757477261,2,1,1.00001430511475,3.55599546432495,0.02502266226649,0,0.088569175231336,0,0.000161886215209961,0,0,0,0
11,7300.12483419377,11/06/2015 22:08:40,100.108721483075,2,1,0.999833703041077,3.55712866783142,0.027804379889359,0,0.098462214991251,0,9.7131727670785E-05,0,0,0,0
12,7310.14042330706,11/06/2015 22:08:50,110.124310591356,2,1,0.999833703041077,3.55793809890747,0.030586122467431,0,0.108358272023762,0,9.7131727670785E-05,0,0,0,0
13,7320.15576306485,11/06/2015 22:09:00,120.139650349138,2,1,0.999833703041077,3.55890941619873,0.033363450601878,0,0.118241012429539,0,9.7131727670785E-05,0,0,0,0
14,7330.17142086406,11/06/2015 22:09:10,130.155308203491,2,1,1.00001430511475,3.55971884727478,0.036145188213877,0,0.12814185293091,0,0.000129110208945349,0,0,0,0
15,7340.1870891594,11/06/2015 22:09:20,140.170976473764,2,1,0.999653100967407,3.56036639213562,0.038931279869885,0,0.138060328345935,0,6.47544875391759E-05,0,0,0,0
16,7350.20267109984,11/06/2015 22:09:30,150.186558404183,2,1,1.00001430511475,3.56117582321167,0.041713014131652,0,0.147965318784851,0,9.7131727670785E-05,0,0,0,0
17,7360.21819589307,11/06/2015 22:09:40,160.202083182381,2,1,0.999833703041077,3.56182336807251,0.044494711461435,0,0.157872252297138,0,6.47544875391759E-05,0,0,0,0
18,7370.2338279783,11/06/2015 22:09:50,170.21771535282,2,1,0.999833703041077,3.56247091293335,0.047276439367142,0,0.167781297969744,0,6.47544875391759E-05,0,0,0,0
19,7380.24934633552,11/06/2015 22:10:00,180.233233700015,2,1,0.999833703041077,3.5632803440094,0.050058144314687,0,0.177692286223818,0,6.47544875391759E-05,0,0,0,0
20,7390.26459292145,11/06/2015 22:10:10,190.248480230805,2,1,0.999833703041077,3.56376600265503,0.052835546804741,0,0.18758945640489,0,9.7131727670785E-05,0,0,0,0
21,7400.26482832262,11/06/2015 22:10:20,200.248715626964,2,1,0.999833703041077,3.56457543373108,0.055617207093339,0,0.197503984917295,0,6.47544875391759E-05,0,0,0,0
22,7410.28042651852,11/06/2015 22:10:30,210.264313827872,2,1,1.00001430511475,3.56538486480713,0.058398920078081,0,0.207420682387304,0,9.7131727670785E-05,0,0,0,0
23,7420.29592600879,11/06/2015 22:10:40,220.279813293079,2,1,0.999833703041077,3.56587052345276,0.061180649225654,0,0.217339439379084,0,0,0,0,0,0
24,7430.29592879109,11/06/2015 22:10:50,230.279816070375,2,1,0.999653100967407,3.56667995452881,0.06395806846007,0,0.227244836328126,0,6.47544875391759E-05,0,0,0,0
25,7440.29593692672,11/06/2015 22:11:00,240.279824366404,2,1,0.999833703041077,3.56765127182007,0.06673547239493,0,0.237152245198623,0,9.7131727670785E-05,0,0,0,0
26,7450.31135612719,11/06/2015 22:11:11,250.295243411489,2,1,0.999833703041077,3.56829881668091,0.069517115324219,0,0.247076790843205,0,9.7131727670785E-05,0,0,0,0
27,7460.32697150585,11/06/2015 22:11:21,260.310858795156,2,1,0.999833703041077,3.56910824775696,0.0722988151051,0,0.257003461741846,0,9.7131727670785E-05,0,0,0,0
28,7470.32702808703,11/06/2015 22:11:31,270.31091539639,2,1,0.999833703041077,3.5697557926178,0.0750762046767,0,0.266916918760951,0,6.47544875391759E-05,0,0,0,0
