Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.01595180217,11/11/2015 14:23:32,60.0159523836147,1,1,0,3.4319908618927,0,0,0,0,0,0,0,0,0
2,70.0319138822476,11/11/2015 14:23:42,10.015522736877,2,1,0.999833703041077,3.54029250144958,0.002781719182445,0,0.009827777018581,0,0.00106844899710268,0,0,0,0
3,80.0474277871806,11/11/2015 14:23:52,20.0310366568474,2,1,0.999833703041077,3.54854869842529,0.005563449077507,0,0.019688072525509,0,0.000712299370206893,0,0,0,0
4,90.0629579224398,11/11/2015 14:24:02,30.0465667870941,2,1,0.999833703041077,3.55372905731201,0.008345153054299,0,0.029566736598271,0,0.000420904165366665,0,0,0,0
5,100.078367042022,11/11/2015 14:24:12,40.0619758966509,2,1,0.999833703041077,3.55729055404663,0.011126825665781,0,0.039457140565016,0,0.000323772430419922,0,0,0,0
6,110.093960324176,11/11/2015 14:24:22,50.0775691487311,2,1,0.999833703041077,3.55939507484436,0.013908551133697,0,0.049355540856735,0,0.00019426345534157,0,0,0,0
7,120.109173953039,11/11/2015 14:24:32,60.0927828026558,2,1,0.999833703041077,3.56117582321167,0.016690169900733,0,0.059258969569893,0,0.000129508975078352,0,0,0,0
8,130.124925934501,11/11/2015 14:24:42,70.1085348192046,2,1,0.999833703041077,3.56230902671814,0.019467528402732,0,0.069151184350773,0,9.7131727670785E-05,0,0,0,0
9,140.124944058378,11/11/2015 14:24:52,80.1085529130069,2,1,0.999653100967407,3.5632803440094,0.022249337765364,0,0.079062435581224,0,6.47544875391759E-05,0,0,0,0
10,150.140439156583,11/11/2015 14:25:02,90.1240480262498,2,1,0.999833703041077,3.56425166130066,0.025031003343817,0,0.088975411491473,0,0.000129508975078352,0,0,0,0
11,160.155939061732,11/11/2015 14:25:12,100.139547941424,2,1,0.999833703041077,3.5648992061615,0.027812724371953,0,0.09889115024141,0,6.47544875391759E-05,0,0,0,0
12,170.171462755988,11/11/2015 14:25:22,110.155071590567,2,1,1.00001430511475,3.56587052345276,0.03059438224493,0,0.108808846971651,0,9.7131727670785E-05,0,0,0,0
13,180.186898847585,11/11/2015 14:25:32,120.170507702214,2,1,0.999833703041077,3.5665180683136,0.033376037352456,0,0.118728584440081,0,6.47544875391759E-05,0,0,0,0
14,190.202526224452,11/11/2015 14:25:42,130.186135054019,2,1,0.999833703041077,3.56716561317444,0.036157747492518,0,0.128650534771232,0,6.47544875391759E-05,0,0,0,0
15,200.21799103741,11/11/2015 14:25:52,140.201599952189,2,1,0.999833703041077,3.56797504425049,0.038939389739899,0,0.138574123536668,0,9.7131727670785E-05,0,0,0,0
16,210.233482281038,11/11/2015 14:26:02,150.217091130655,2,1,1.00001430511475,3.56846070289612,0.041721068397582,0,0.148499748219109,0,3.23772437695879E-05,0,0,0,0
17,220.249006326166,11/11/2015 14:26:12,160.232615155733,2,1,0.999833703041077,3.56927013397217,0.044502725582877,0,0.15842714313625,0,9.7131727670785E-05,0,0,0,0
18,230.264461800922,11/11/2015 14:26:22,170.24807063049,2,1,0.999653100967407,3.5697557926178,0.047284365228161,0,0.168356464580043,0,3.23772437695879E-05,0,0,0,0
19,240.280096821782,11/11/2015 14:26:32,180.263705666387,2,1,0.999833703041077,3.57056522369385,0.050066089295536,0,0.178287946272819,0,6.47544875391759E-05,0,0,0,0
20,250.295559679883,11/11/2015 14:26:42,190.279168514463,2,1,1.00001430511475,3.5713746547699,0.052847768270737,0,0.188221144550673,0,9.7131727670785E-05,0,0,0,0
21,260.311114551603,11/11/2015 14:26:52,200.29472344132,2,1,0.999833703041077,3.57202219963074,0.055629451621742,0,0.198156294934337,0,9.7131727670785E-05,0,0,0,0
22,270.326524543352,11/11/2015 14:27:02,210.310133377931,2,1,1.00001430511475,3.57283163070679,0.058411092412333,0,0.208093240646273,0,9.7131727670785E-05,0,0,0,0
23,280.342134607203,11/11/2015 14:27:12,220.32574345682,2,1,0.999833703041077,3.57347917556763,0.061192768013396,0,0.218032304479287,0,6.47544875391759E-05,0,0,0,0
24,290.357645810423,11/11/2015 14:27:22,230.34125466004,2,1,0.999833703041077,3.57412672042847,0.063970076426854,0,0.227957596957839,0,6.47544875391759E-05,0,0,0,0
25,300.358232867881,11/11/2015 14:27:32,240.341841807722,2,1,1.00001430511475,3.57493615150452,0.066751921501864,0,0.237901169154615,0,9.7131727670785E-05,0,0,0,0
26,310.373135990254,11/11/2015 14:27:42,250.356744945133,2,1,0.999653100967407,3.57542181015015,0.06953340540716,0,0.247845429137045,0,6.47544875391759E-05,0,0,0,0
27,320.388627920589,11/11/2015 14:27:52,260.372236785243,2,1,0.999833703041077,3.57639312744141,0.07231501913763,0,0.257792174714325,0,9.7131727670785E-05,0,0,0,0
28,330.404073210039,11/11/2015 14:28:02,270.387682044619,2,1,0.999833703041077,3.57704067230225,0.075096646915835,0,0.267740963211234,0,6.47544875391759E-05,0,0,0,0
29,340.419408872107,11/11/2015 14:28:12,280.403017701674,2,1,1.00001430511475,3.5778501033783,0.077878190599671,0,0.277691486016002,0,9.7131727670785E-05,0,0,0,0
30,350.435166793327,11/11/2015 14:28:22,290.418775748205,2,1,0.999833703041077,3.57849764823914,0.080659879021959,0,0.287644615906297,0,6.47544875391759E-05,0,0,0,0
31,360.450044136649,11/11/2015 14:28:32,300.433653051428,2,1,0.999833703041077,3.57930707931519,0.083437182799602,0,0.297584031536384,0,9.7131727670785E-05,0,0,0,0
32,370.450516032976,11/11/2015 14:28:42,310.434124892618,2,1,0.999833703041077,3.57995462417603,0.086218779553997,0,0.307540924410146,0,6.47544875391759E-05,0,0,0,0
33,380.466113821327,11/11/2015 14:28:52,320.449722685981,2,1,0.999833703041077,3.58060216903687,0.089000429807057,0,0.317500040442376,0,3.23772437695879E-05,0,0,0,0
34,390.480959395716,11/11/2015 14:29:02,330.46456822027,2,1,0.999833703041077,3.5812497138977,0.09177772739036,0,0.327445634611032,0,0,0,0,0,0
35,400.48145939186,11/11/2015 14:29:12,340.465068261527,2,1,0.999833703041077,3.58205914497375,0.094559326599384,0,0.337408624875643,0,9.7131727670785E-05,0,0,0,0
36,410.49696411899,11/11/2015 14:29:22,350.480572978631,2,1,1.00001430511475,3.5828685760498,0.097340969381932,0,0.347373935924517,0,3.23772437695879E-05,0,0,0,0
37,420.512549792239,11/11/2015 14:29:32,360.496158712031,2,1,0.999833703041077,3.58383989334106,0.100122653883367,0,0.35734159399114,0,6.47544875391759E-05,0,0,0,0
38,430.527973858959,11/11/2015 14:29:42,370.511582703563,2,1,0.999833703041077,3.58432555198669,0.102904251980337,0,0.367310879248259,0,6.47544875391759E-05,0,0,0,0
39,440.54353982324,11/11/2015 14:29:52,380.527148692906,2,1,1.00001430511475,3.58513498306274,0.105685900396405,0,0.37728246606646,0,9.7131727670785E-05,0,0,0,0
40,450.543616081558,11/11/2015 14:30:02,390.527224936188,2,1,0.999653100967407,3.58594441413879,0.108463270640142,0,0.387240845433594,0,9.7131727670785E-05,0,0,0,0
41,460.558700098385,11/11/2015 14:30:12,400.542308963039,2,1,0.999833703041077,3.58675384521484,0.111244795055583,0,0.397216248962491,0,6.47544875391759E-05,0,0,0,0
42,470.558793995529,11/11/2015 14:30:22,410.542402835121,2,1,1.00001430511475,3.58740139007568,0.114022166402402,0,0.407178887747258,0,3.23772437695879E-05,0,0,0,0
43,480.57431200065,11/11/2015 14:30:32,420.557920845254,2,1,0.999833703041077,3.58837270736694,0.116803801435633,0,0.417158989781743,0,9.7131727670785E-05,0,0,0,0
44,490.589779109312,11/11/2015 14:30:42,430.573387963941,2,1,0.999833703041077,3.58902025222778,0.119585378906589,0,0.427141103448387,0,6.45542240818031E-05,0,0,0,0
45,500.605405799473,11/11/2015 14:30:53,440.589014744326,2,1,1.00001430511475,3.58999156951904,0.122367041091371,0,0.43712566456533,0,9.7131727670785E-05,0,0,0,0
