Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0012103453195,11/12/2015 17:28:57,60.0012109117268,1,1,0,3.26330614089966,0,0,0,0,0,0,0,0,0
2,70.0103670304465,11/12/2015 17:29:07,10.0087120750017,2,1,0.999833703041077,3.38552975654602,0.002779916388186,0,0.009378304218702,0,0.00132746691815555,0,0,0,0
3,80.0170843041342,11/12/2015 17:29:17,20.0154293286396,2,1,1.00001430511475,3.40220403671265,0.005559271373929,0,0.018812049994929,0,0.000971317291259766,0,0,0,0
4,90.0286899335056,11/12/2015 17:29:27,30.0270349529986,2,1,0.999833703041077,3.41596436500549,0.008340026697871,0,0.028292241381457,0,0.000841808330733329,0,0,0,0
5,100.036424780472,11/12/2015 17:29:37,40.0347697799147,2,1,1.00019490718842,3.42826771736145,0.011119696464999,0,0.037804695131961,0,0.00077705382136628,0,0,0,0
6,110.042128275309,11/12/2015 17:29:47,50.040473264727,2,1,0.999833703041077,3.43927574157715,0.013898786181011,0,0.047347569839662,0,0.000712299370206893,0,0,0,0
7,120.043039397944,11/12/2015 17:29:57,60.0413844224496,2,1,0.999833703041077,3.44963645935059,0.016676500306481,0,0.056915646919759,0,0.000647544860839844,0,0,0,0
8,130.04972827608,11/12/2015 17:30:07,70.0480732905604,2,1,0.999833703041077,3.45951151847839,0.019455792945503,0,0.066517129019404,0,0.000647544860839844,0,0,0,0
9,140.057460817317,11/12/2015 17:30:17,80.0558058468348,2,1,0.999833703041077,3.46873903274536,0.022235404214069,0,0.076146135116306,0,0.000582790351472795,0,0,0,0
10,150.059340180658,11/12/2015 17:30:27,90.0576851851138,2,1,1.00001430511475,3.4774808883667,0.025013422019871,0,0.085794688630766,0,0.000550413154996932,0,0,0,0
11,160.068004757646,11/12/2015 17:30:37,100.066349757089,2,1,0.999833703041077,3.48606085777283,0.027793288594387,0,0.095473684800847,0,0.000518035900313407,0,0,0,0
12,170.072781479809,11/12/2015 17:30:47,110.071126514339,2,1,0.999833703041077,3.49399328231812,0.030572075054986,0,0.105171897673182,0,0.000485658645629883,0,0,0,0
