Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0000731693869,12/15/2015 09:15:29,60.0000737357964,1,1,0,3.08721041679382,0,0,0,0,3.24249267578125E-05,0,0,0,0
2,70.0160154366872,12/15/2015 09:15:39,10.0155086480588,2,1,0.999544024467468,3.20859360694885,0.002780735628216,0,0.008880126765723,0,0.00272259721532464,0,0,0,0
3,80.0316942281414,12/15/2015 09:15:49,20.031187705174,2,1,0.999544024467468,3.23274064064026,0.005561519007785,0,0.017837178217647,0,0.00223641400225461,0,0,0,0
4,90.0472134074067,12/15/2015 09:15:59,30.0467066288032,2,1,0.999364197254181,3.25332236289978,0.008342285938207,0,0.026855912665743,0,0.00184750556945801,0,0,0,0
5,100.062461507101,12/15/2015 09:16:09,40.0619547184725,2,1,0.999723851680756,3.27212142944336,0.011118628289076,0,0.035914795372269,0,0.00178270344622433,0,0,0,0
6,110.078220688603,12/15/2015 09:16:19,50.0777139200241,2,1,0.999544024467468,3.28929972648621,0.013903624473026,0,0.045051756750485,0,0.00158820149954408,0,0,0,0
7,120.093801446103,12/15/2015 09:16:29,60.0932946875494,2,1,0.999723851680756,3.30518174171448,0.016684302847664,0,0.054220544495826,0,0.0014909744495526,0,0,0,0
8,130.109333121464,12/15/2015 09:16:39,70.108826322811,2,1,0.999544024467468,3.32025337219238,0.01946501212841,0,0.063432249133107,0,0.00142612459603697,0,0,0,0
9,140.124971001111,12/15/2015 09:16:49,80.1244642325325,2,1,0.999364197254181,3.33419060707092,0.022245739117258,0,0.072684384119096,0,0.00139374728314579,0,0,0,0
10,150.140505498495,12/15/2015 09:16:59,90.1399988051035,2,1,0.999544024467468,3.34747958183289,0.025026444081722,0,0.081974311455161,0,0.00132889742963016,0,0,0,0
11,160.155991545311,12/15/2015 09:17:09,100.155484761695,2,1,0.999544024467468,3.35995817184448,0.027807112542457,0,0.091299941944494,0,0.00119924545288086,0,0,0,0
12,170.171551982245,12/15/2015 09:17:19,110.171045223691,2,1,0.999364197254181,3.37195062637329,0.030587843855935,0,0.100659804914234,0,0.00110201840288937,0,0,0,0
13,180.186899133425,12/15/2015 09:17:29,120.186392450058,2,1,0.999544024467468,3.38329482078552,0.033364181567737,0,0.110037139078885,0,0.00110201840288937,0,0,0,0
14,190.20309679607,12/15/2015 09:17:39,130.202590092654,2,1,0.999544024467468,3.39399075508118,0.036149329280933,0,0.119475095627843,0,0.00100474362261593,0,0,0,0
15,200.218343762945,12/15/2015 09:17:49,140.217837079579,2,1,0.999364197254181,3.40436267852783,0.038929925504612,0,0.128927061950473,0,0.00103716854937375,0,0,0,0
16,210.233534675331,12/15/2015 09:17:59,150.233027911765,2,1,0.999544024467468,3.41441059112549,0.041706228014362,0,0.138392430217728,0,0.000907564186491072,0,0,0,0
17,220.233564179135,12/15/2015 09:18:09,160.233057395519,2,1,0.999364197254181,3.4236478805542,0.044486848424997,0,0.147899509827649,0,0.000842714332975447,0,0,0,0
18,230.249275321092,12/15/2015 09:18:19,170.248768537476,2,1,0.999723851680756,3.43320941925049,0.047267534518734,0,0.157432752015291,0,0.000939941382966936,0,0,0,0
19,240.264878760034,12/15/2015 09:18:29,180.264371976418,2,1,0.999544024467468,3.44163656234741,0.050048277685089,0,0.166991188434072,0,0.000842714332975447,0,0,0,0
20,250.280433347411,12/15/2015 09:18:39,190.27992665402,2,1,0.999364197254181,3.45006370544434,0.052828959339296,0,0.17657337532817,0,0.000777864479459822,0,0,0,0
21,260.295945308715,12/15/2015 09:18:49,200.295438615323,2,1,0.999544024467468,3.45816683769226,0.055609641609991,0,0.186178635135017,0,0.000713062298018485,0,0,0,0
22,270.311503159212,12/15/2015 09:18:59,210.310996395646,2,1,0.999364197254181,3.4661078453064,0.058390368271644,0,0.195806308837361,0,0.000745487224776298,0,0,0,0
23,280.326860425563,12/15/2015 09:19:09,220.326353636935,2,1,0.999544024467468,3.47372460365295,0.061166732956189,0,0.205440221580766,0,0.000745487224776298,0,0,0,0
24,290.327006840295,12/15/2015 09:19:19,230.326500051667,2,1,0.999544024467468,3.4811794757843,0.063947447384996,0,0.215109864683371,0,0.000713062298018485,0,0,0,0
25,300.34260043474,12/15/2015 09:19:29,240.342093656137,2,1,0.999364197254181,3.48814797401428,0.066728166327351,0,0.224799524770548,0,0.000680637371260673,0,0,0,0
26,310.358105393619,12/15/2015 09:19:39,250.35759860499,2,1,0.999544024467468,3.49495458602905,0.069508825638164,0,0.234508291527777,0,0.000648260116577148,0,0,0,0
27,320.373664797982,12/15/2015 09:19:49,260.373158009354,2,1,0.999364197254181,3.50143694877625,0.072289514889409,0,0.244235641234691,0,0.000615835189819336,0,0,0,0
28,330.389169340826,12/15/2015 09:19:59,270.388662597309,2,1,0.999544024467468,3.50775742530823,0.075070190062856,0,0.2539807916692,0,0.000583457935135812,0,0,0,0
29,340.389216328136,12/15/2015 09:20:09,280.38870954452,2,1,0.999544024467468,3.51375365257263,0.077846582076952,0,0.263728019087128,0,0.000583457935135812,0,0,0,0
30,350.404942397239,12/15/2015 09:20:19,290.40443570886,2,1,0.999544024467468,3.51942563056946,0.080622907847768,0,0.273491368254339,0,0.000550985336303711,0,0,0,0
31,360.420096833856,12/15/2015 09:20:29,300.419590035203,2,1,0.999544024467468,3.52509784698486,0.083407918176409,0,0.283300988128535,0,0.000518608081620187,0,0,0,0
32,370.420239649633,12/15/2015 09:20:39,310.419732881054,2,1,0.999544024467468,3.5302836894989,0.086184356253018,0,0.293095198068877,0,0.000486183154862374,0,0,0,0
33,380.435767430302,12/15/2015 09:20:49,320.435260646686,2,1,0.999544024467468,3.53482151031494,0.088965043791101,0,0.302918148825722,0,0.000421381002524868,0,0,0,0
34,390.451325536436,12/15/2015 09:21:00,330.450818752819,2,1,0.999723851680756,3.5390350818634,0.09174573620915,0,0.312753427025098,0,0.000388956075767055,0,0,0,0
35,400.466913241224,12/15/2015 09:21:10,340.466406487683,2,1,0.999544024467468,3.5424382686615,0.094526434825303,0,0.322599007564899,0,0.000356531149009243,0,0,0,0
36,410.482442264987,12/15/2015 09:21:20,350.481935476358,2,1,0.999544024467468,3.54470705986023,0.097307136331402,0,0.33245242338661,0,0.000226879114052281,0,0,0,0
37,420.49800132349,12/15/2015 09:21:30,360.497494745386,2,1,0.999364197254181,3.54600358009338,0.100087864110674,0,0.342311449709407,0,9.72270936472341E-05,0,0,0,0
38,430.513509445239,12/15/2015 09:21:40,370.51300277691,2,1,0.999544024467468,3.54730010032654,0.102868552772015,0,0.352174045147479,0,9.72270936472341E-05,0,0,0,0
39,440.529108964427,12/15/2015 09:21:50,380.528602220911,2,1,0.999544024467468,3.54827237129211,0.105649267526268,0,0.362039670682745,0,9.72270936472341E-05,0,0,0,0
40,450.544735571022,12/15/2015 09:22:00,390.54422889768,2,1,0.999544024467468,3.54908275604248,0.108429969615392,0,0.371907624783212,0,6.48021668894216E-05,0,0,0,0
41,460.560190520453,12/15/2015 09:22:10,400.559683736837,2,1,0.999544024467468,3.54989314079285,0.111210616581698,0,0.381777441315196,0,9.72747802734375E-05,0,0,0,0
42,470.575877326852,12/15/2015 09:22:20,410.575370633461,2,1,0.999544024467468,3.55054140090942,0.113991352127074,0,0.391649622263058,0,6.4849853515625E-05,0,0,0,0
43,480.575972484032,12/15/2015 09:22:30,420.575465840765,2,1,0.999544024467468,3.55135154724121,0.116767723825916,0,0.401508179780955,0,0.000129652020405047,0,0,0,0
44,490.591255355254,12/15/2015 09:22:40,430.590748571638,2,1,0.999364197254181,3.551837682724,0.119548249610157,0,0.41138326924737,0,6.48021668894216E-05,0,0,0,0
45,500.606832383474,12/15/2015 09:22:50,440.606325639958,2,1,0.999544024467468,3.55264806747437,0.122328860221162,0,0.421260483865017,0,6.48021668894216E-05,0,0,0,0
46,510.622368073827,12/15/2015 09:23:00,450.621861315273,2,1,0.999544024467468,3.55313420295715,0.125109478457301,0,0.431139559024366,0,3.23772437695879E-05,0,0,0,0
47,520.637939658501,12/15/2015 09:23:10,460.637432955084,2,1,0.999364197254181,3.55378246307373,0.127890110196894,0,0.441020539396117,0,6.48021668894216E-05,0,0,0,0
48,530.653493814805,12/15/2015 09:23:20,470.652987026177,2,1,0.999544024467468,3.55443072319031,0.130670733615205,0,0.450903273515704,0,6.46007247269154E-05,0,0,0,0
49,540.669073269062,12/15/2015 09:23:30,480.668566525546,2,1,0.999544024467468,3.55524110794067,0.133451374190663,0,0.460787923128916,0,6.4849853515625E-05,0,0,0,0
50,550.684365904582,12/15/2015 09:23:40,490.683859206179,2,1,0.999364197254181,3.55572724342346,0.136227656041661,0,0.47065894225422,0,6.48021668894216E-05,0,0,0,0
51,560.684442746184,12/15/2015 09:23:50,500.683935957556,2,1,0.999544024467468,3.55653762817383,0.139008305977586,0,0.480547350309659,0,6.4849853515625E-05,0,0,0,0
52,570.70008789893,12/15/2015 09:24:00,510.699581130351,2,1,0.999544024467468,3.55702376365662,0.141788898823157,0,0.490437283862574,0,6.4849853515625E-05,0,0,0,0
53,580.715351171381,12/15/2015 09:24:10,520.714844387765,2,1,0.999184370040894,3.5575098991394,0.144569283836283,0,0.500328222517098,0,0,0,0,0,0
54,590.715675423655,12/15/2015 09:24:20,530.715168730263,2,1,0.999364197254181,3.55848217010498,0.147345459284123,0,0.510206022744014,0,6.48021668894216E-05,0,0,0,0
55,600.730946044392,12/15/2015 09:24:30,540.730439250751,2,1,0.999544024467468,3.55913043022156,0.150121541281428,0,0.520085329159313,0,9.72270936472341E-05,0,0,0,0
56,610.731082749963,12/15/2015 09:24:40,550.730575976372,2,1,0.999364197254181,3.55977869033813,0.152901981032293,0,0.529981910104293,0,9.72270936472341E-05,0,0,0,0
57,620.746600701172,12/15/2015 09:24:50,560.746093937606,2,1,0.999364197254181,3.56026482582092,0.15568241493354,0,0.539880283638778,0,6.48021668894216E-05,0,0,0,0
58,630.762231001959,12/15/2015 09:25:00,570.761724318593,2,1,0.999364197254181,3.5609130859375,0.15846285177698,0,0.549780471273211,0,3.23772437695879E-05,0,0,0,0
59,640.762236912051,12/15/2015 09:25:10,580.761730228685,2,1,0.999364197254181,3.56156134605408,0.161238948221952,0,0.559667030338939,0,6.48021668894216E-05,0,0,0,0
60,650.777785805258,12/15/2015 09:25:20,590.777279136929,2,1,0.999544024467468,3.56237173080444,0.164019378181883,0,0.569570816562749,0,9.72270936472341E-05,0,0,0,0
61,660.793319014436,12/15/2015 09:25:30,600.792812386207,2,1,0.999364197254181,3.56301999092102,0.166799808827646,0,0.579476431588218,0,3.24249267578125E-05,0,0,0,0
62,670.808787868469,12/15/2015 09:25:40,610.808281175078,2,1,0.999364197254181,3.5636682510376,0.169580241078035,0,0.589383906041388,0,6.4849853515625E-05,0,0,0,0
63,680.808799407569,12/15/2015 09:25:50,620.808292744252,2,1,0.999364197254181,3.56415438652039,0.172356397253144,0,0.599277999995338,0,3.24249267578125E-05,0,0,0,0
64,690.824343132916,12/15/2015 09:26:00,630.823836464587,2,1,0.999364197254181,3.56496477127075,0.175136821834544,0,0.609189085917172,0,6.4849853515625E-05,0,0,0,0
65,700.839849134389,12/15/2015 09:26:10,640.839342461047,2,1,0.999364197254181,3.56561303138733,0.17791724883389,0,0.619102030052285,0,6.4849853515625E-05,0,0,0,0
66,710.855530717791,12/15/2015 09:26:20,650.855023979287,2,1,0.999364197254181,3.56626105308533,0.180697737069814,0,0.629017020189288,0,9.72270936472341E-05,0,0,0,0
67,720.870905402487,12/15/2015 09:26:30,660.870398608846,2,1,0.999544024467468,3.5669093132019,0.183478151780676,0,0.638933622458218,0,3.22761625284329E-05,0,0,0,0
68,730.886496079672,12/15/2015 09:26:40,670.885989296056,2,1,0.999184370040894,3.56739568710327,0.186258592192999,0,0.648851956557472,0,3.24249267578125E-05,0,0,0,0
69,740.902037308808,12/15/2015 09:26:50,680.901530520179,2,1,0.999364197254181,3.56804394721985,0.189039078918737,0,0.658772052373385,0,6.4849853515625E-05,0,0,0,0
70,750.91761768536,12/15/2015 09:27:00,690.917110911769,2,1,0.999544024467468,3.56885409355164,0.191819519550879,0,0.668693972665595,0,6.48021668894216E-05,0,0,0,0
71,760.933175144884,12/15/2015 09:27:10,700.932668451493,2,1,0.999544024467468,3.56950235366821,0.194599981136379,0,0.678617830570677,0,9.72270936472341E-05,0,0,0,0
72,770.94842725957,12/15/2015 09:27:20,710.94792016518,2,1,0.999544024467468,3.57015061378479,0.197380329341595,0,0.688543115096807,0,6.48021668894216E-05,0,0,0,0
73,780.948628866646,12/15/2015 09:27:30,720.948122078017,2,1,0.999723851680756,3.57096099853516,0.200156510247096,0,0.69845536974407,0,9.72270936472341E-05,0,0,0,0
74,790.964016719109,12/15/2015 09:27:40,730.963509940506,2,1,0.999184370040894,3.57128500938416,0.202936892723503,0,0.708384559784446,0,0,0,0,0,0
75,800.979442856844,12/15/2015 09:27:50,740.978935762455,2,1,0.999544024467468,3.57225751876831,0.205717312258167,0,0.718315831806811,0,9.72747802734375E-05,0,0,0,0
76,810.979719300148,12/15/2015 09:28:00,750.979212516532,2,1,0.999184370040894,3.5727436542511,0.208493522118631,0,0.728233876654101,0,3.24249267578125E-05,0,0,0,0
77,820.995238644824,12/15/2015 09:28:10,760.994731951433,2,1,0.999544024467468,3.57371592521667,0.211273950919464,0,0.738168996749381,0,6.48021668894216E-05,0,0,0,0
78,831.010553941736,12/15/2015 09:28:20,771.010046967646,2,1,0.999364197254181,3.57420206069946,0.214054309316492,0,0.748105800427585,0,6.48021668894216E-05,0,0,0,0
79,841.010761939716,12/15/2015 09:28:30,781.010255171138,2,1,0.999364197254181,3.57501244544983,0.216830483756814,0,0.758029713493846,0,3.24249267578125E-05,0,0,0,0
80,851.026296692736,12/15/2015 09:28:40,791.025789924158,2,1,0.999364197254181,3.5758228302002,0.219610912160258,0,0.767970924068267,0,6.4849853515625E-05,0,0,0,0
81,861.041518381708,12/15/2015 09:28:50,801.041046790668,2,1,0.999544024467468,3.57679510116577,0.222386896706837,0,0.777898363525923,0,0.000161583826411515,0,0,0,0
82,871.041983399271,12/15/2015 09:29:00,811.041476715905,2,1,0.999544024467468,3.57728123664856,0.225167475910999,0,0.787844488632048,0,9.72270936472341E-05,0,0,0,0
83,881.057343387395,12/15/2015 09:29:10,821.056836709041,2,1,0.999364197254181,3.57809162139893,0.22794784715894,0,0.797791971436119,0,6.4849853515625E-05,0,0,0,0
84,891.057353312478,12/15/2015 09:29:20,831.056846644149,2,1,0.999364197254181,3.5790638923645,0.230723956799125,0,0.807726528110561,0,9.72270936472341E-05,0,0,0,0
85,901.072800292077,12/15/2015 09:29:30,841.072293588661,2,1,0.999544024467468,3.58003640174866,0.233504358380365,0,0.817678804651572,0,6.4849853515625E-05,0,0,0,0
86,911.088431715658,12/15/2015 09:29:40,851.087925027279,2,1,0.999364197254181,3.58084654808044,0.236284792853925,0,0.827633542555973,0,0.000129652020405047,0,0,0,0
87,921.103962348425,12/15/2015 09:29:50,861.103455559797,2,1,0.999544024467468,3.5818190574646,0.23906520482546,0,0.837590730847063,0,9.72747802734375E-05,0,0,0,0
88,931.119494329547,12/15/2015 09:30:00,871.118987545932,2,1,0.999364197254181,3.58262920379639,0.241845625790726,0,0.847550524254588,0,9.72270936472341E-05,0,0,0,0
89,941.135090294892,12/15/2015 09:30:10,881.134583611526,2,1,0.999184370040894,3.58343958854675,0.24462605127423,0,0.857512845134426,0,6.48021668894216E-05,0,0,0,0
90,951.150402002873,12/15/2015 09:30:20,891.149895214245,2,1,0.999544024467468,3.58457398414612,0.24740642435726,0,0.86747772533652,0,9.72270936472341E-05,0,0,0,0
91,961.150549144414,12/15/2015 09:30:30,901.150042400898,2,1,0.999184370040894,3.58538436889648,0.250182568188722,0,0.877430216929349,0,6.4849853515625E-05,0,0,0,0
92,971.166116884521,12/15/2015 09:30:40,911.16561019113,2,1,0.999364197254181,3.58635663986206,0.252963020147854,0,0.887401004249489,0,6.48021668894216E-05,0,0,0,0
93,981.181639076283,12/15/2015 09:30:50,921.181132287654,2,1,0.999364197254181,3.58765316009521,0.255743462915395,0,0.897374717132384,0,9.72270936472341E-05,0,0,0,0
94,991.196990678539,12/15/2015 09:31:00,931.196484235771,2,1,0.999544024467468,3.58878755569458,0.258519591307656,0,0.907335822003559,0,0.000129652020405047,0,0,0,0
95,1001.21289853501,12/15/2015 09:31:10,941.212391746384,2,1,0.999544024467468,3.58992195129395,0.261304434360312,0,0.917331389644461,0,0.000129652020405047,0,0,0,0
96,1011.22815463461,12/15/2015 09:31:20,951.227647850998,2,1,0.999364197254181,3.5908944606781,0.264084791987894,0,0.927314003547854,0,9.72747802734375E-05,0,0,0,0
