Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0137000042413,12/16/2015 09:21:38,60.0137005806758,1,1,0,3.05301547050476,0,0,0,0,3.23751992254984E-05,0,0,0,0
2,70.0143110615818,12/16/2015 09:21:48,10.0001859430969,2,1,0.999723851680756,3.17715382575989,0.002776447993046,0,0.008774523557915,0,0.00317629589699209,0,0,0,0
3,80.0296975255903,12/16/2015 09:21:58,20.015572382043,2,1,0.999544024467468,3.2038938999176,0.005557146558346,0,0.017647422390678,0,0.00249571795575321,0,0,0,0
4,90.0447168008638,12/16/2015 09:22:08,30.0305913264932,2,1,0.999544024467468,3.22674441337585,0.008333403657171,0,0.026574520668454,0,0.00222963793203235,0,0,0,0
5,100.044968377287,12/16/2015 09:22:18,40.0308430633153,2,1,0.999364197254181,3.2470018863678,0.011114222357237,0,0.035576306636994,0,0.00197103037498891,0,0,0,0
6,110.060218787731,12/16/2015 09:22:28,50.0460932381735,2,1,0.999364197254181,3.26596307754517,0.013894899432687,0,0.044631989579677,0,0.00184185965918005,0,0,0,0
7,120.060607505425,12/16/2015 09:22:38,60.0464823719024,2,1,0.999544024467468,3.28314137458801,0.016671409752662,0,0.053723980090057,0,0.00162057881243527,0,0,0,0
8,130.076087903184,12/16/2015 09:22:48,70.0619626543745,2,1,0.999544024467468,3.29918551445007,0.019452132805565,0,0.062876115136176,0,0.00152339937631041,0,0,0,0
9,140.091657247282,12/16/2015 09:22:58,80.0775319934607,2,1,0.999544024467468,3.31425714492798,0.022232872826734,0,0.072071615529462,0,0.00136132235638797,0,0,0,0
10,150.10700151629,12/16/2015 09:23:08,90.0928764078303,2,1,0.999364197254181,3.32851839065552,0.025009247280402,0,0.081293314025047,0,0.00132889742963016,0,0,0,0
11,160.107137329641,12/16/2015 09:23:18,100.093012080832,2,1,0.999544024467468,3.34196949005127,0.027790058156093,0,0.090568090655372,0,0.00119924545288086,0,0,0,0
12,170.12267844349,12/16/2015 09:23:28,110.108553214731,2,1,0.999544024467468,3.35461020469666,0.030570797738202,0,0.099878912444139,0,0.001166868256405,0,0,0,0
13,180.138175743309,12/16/2015 09:23:38,120.124050484475,2,1,0.999364197254181,3.36660265922546,0.033351528939815,0,0.109224134083721,0,0.00113444332964718,0,0,0,0
14,190.138192375081,12/16/2015 09:23:48,130.124067241559,2,1,0.999544024467468,3.37810897827148,0.03612796955256,0,0.118587620188907,0,0.00106959347613156,0,0,0,0
15,200.153716030485,12/16/2015 09:23:58,140.139590781676,2,1,0.999544024467468,3.38896703720093,0.038908719026682,0,0.127996865076025,0,0.000939941382966936,0,0,0,0
16,210.153720842845,12/16/2015 09:24:08,150.139595714335,2,1,0.999544024467468,3.39966297149658,0.041685153935383,0,0.137421242377211,0,0.000972366309724748,0,0,0,0
17,220.16901812994,12/16/2015 09:24:18,160.154892966343,2,1,0.999544024467468,3.40938663482666,0.044461587315268,0,0.146873892224647,0,0.00087513925973326,0,0,0,0
18,230.169137542478,12/16/2015 09:24:28,170.155012288657,2,1,0.999364197254181,3.41927218437195,0.047242308871926,0,0.156368465927717,0,0.000875091529451311,0,0,0,0
19,240.184675012259,12/16/2015 09:24:38,180.17054976345,2,1,0.999544024467468,3.42850971221924,0.05002306261799,0,0.165889367283204,0,0.000842714332975447,0,0,0,0
20,250.200254576791,12/16/2015 09:24:48,190.186129368081,2,1,0.999544024467468,3.43742299079895,0.052803802320147,0,0.175435454917338,0,0.000810289406217635,0,0,0,0
21,260.215811179182,12/16/2015 09:24:58,200.201686070722,2,1,0.999544024467468,3.44585013389587,0.055584566132815,0,0.185005869439329,0,0.000810289406217635,0,0,0,0
22,270.231367505887,12/16/2015 09:25:08,210.217242282141,2,1,0.999544024467468,3.4539532661438,0.058365292705194,0,0.194599507923262,0,0.000680637371260673,0,0,0,0
23,280.246899542147,12/16/2015 09:25:18,220.23277429835,2,1,0.999544024467468,3.46221828460693,0.061146025468885,0,0.204215685969992,0,0.000777864479459822,0,0,0,0
24,290.26222685897,12/16/2015 09:25:28,230.248101595123,2,1,0.999544024467468,3.46983528137207,0.063922450060646,0,0.213838577146313,0,0.000713109970092773,0,0,0,0
25,300.262357895434,12/16/2015 09:25:38,240.248232736849,2,1,0.999544024467468,3.47728991508484,0.066703220826576,0,0.22349741426313,0,0.000713062298018485,0,0,0,0
26,310.277913926403,12/16/2015 09:25:48,250.263788677594,2,1,0.999544024467468,3.4842586517334,0.069483964119677,0,0.233176334548748,0,0.000648260116577148,0,0,0,0
27,320.293474393411,12/16/2015 09:25:58,260.279349169664,2,1,0.999364197254181,3.49106502532959,0.072264703613447,0,0.242874831763999,0,0.000583410263061523,0,0,0,0
28,330.309052875249,12/16/2015 09:26:08,270.29492762644,2,1,0.999364197254181,3.49770951271057,0.075045453524474,0,0.252592142826646,0,0.000615835189819336,0,0,0,0
29,340.324608901206,12/16/2015 09:26:18,280.310483652397,2,1,0.999364197254181,3.50402998924255,0.077826208136534,0,0.262327529897043,0,0.000583410263061523,0,0,0,0
30,350.340126065457,12/16/2015 09:26:28,290.326000816648,2,1,0.999544024467468,3.51018834114075,0.080606961004059,0,0.272080228427733,0,0.000551033008377999,0,0,0,0
31,360.35572660719,12/16/2015 09:26:38,300.341601448605,2,1,0.999544024467468,3.51618456840515,0.083387733845418,0,0.281849704232728,0,0.000551033008377999,0,0,0,0
32,370.371259676019,12/16/2015 09:26:48,310.357134427209,2,1,0.999544024467468,3.52169442176819,0.086168475033855,0,0.291635008928853,0,0.000518560409545898,0,0,0,0
33,380.371260548574,12/16/2015 09:26:58,320.357135400015,2,1,0.999544024467468,3.52704262733459,0.088944904900419,0,0.301420200535098,0,0.000518608081620187,0,0,0,0
34,390.386968191825,12/16/2015 09:27:08,330.372843058303,2,1,0.999544024467468,3.53190445899963,0.09172570314886,0,0.311234936969811,0,0.00045380592928268,0,0,0,0
