Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,60.0000007842593,12/17/2015 16:47:27,60.0000013606937,1,1,0,2.97182321548462,0,0,0,0,3.24249267578125E-05,0,0,0,0
2,70.0159553969878,12/17/2015 16:47:37,10.0155211792422,2,1,0.999364197254181,3.10568523406982,0.002780499453858,0,0.008575722430772,0,0.00350050930865109,0,0,0,0
3,80.0315034480996,12/17/2015 16:47:47,20.0310691601794,2,1,0.999544024467468,3.13955593109131,0.00556103171622,0,0.017259793008903,0,0.00275502214208245,0,0,0,0
4,90.0469591844898,12/17/2015 16:47:57,30.046524996819,2,1,0.999544024467468,3.16856479644775,0.00834153726044,0,0.026030419884147,0,0.00246334075927734,0,0,0,0
5,100.046985710884,12/17/2015 16:48:07,40.0465514079267,2,1,0.999364197254181,3.19352197647095,0.011117755715335,0,0.034862165014672,0,0.00213918695226312,0,0,0,0
6,110.06254617288,12/17/2015 16:48:17,50.0621120102717,2,1,0.999364197254181,3.21621036529541,0.013898303640241,0,0.043774058789483,0,0.00197710981592536,0,0,0,0
7,120.078092364364,12/17/2015 16:48:27,60.0776580664191,2,1,0.999544024467468,3.23663020133972,0.016678878653729,0,0.052746087639516,0,0.00178270344622433,0,0,0,0
8,130.093640455576,12/17/2015 16:48:37,70.0932061576307,2,1,0.999544024467468,3.25591540336609,0.019459417648371,0,0.061772776616733,0,0.00175027851946652,0,0,0,0
9,140.109196225897,12/17/2015 16:48:47,80.1087619129141,2,1,0.999364197254181,3.27341794967651,0.022239988790926,0,0.070850310294453,0,0.00155582430306822,0,0,0,0
10,150.124768161444,12/17/2015 16:48:57,90.1243339687607,2,1,0.999364197254181,3.28962397575378,0.025020564059193,0,0.079975057665634,0,0.00145854952279478,0,0,0,0
11,160.140331811373,12/17/2015 16:49:07,100.139897508415,2,1,0.999364197254181,3.30501961708069,0.027801155288451,0,0.089144037193654,0,0.00132889742963016,0,0,0,0
12,170.155907411038,12/17/2015 16:49:17,110.15547312813,2,1,0.999364197254181,3.31976723670959,0.03058175542677,0,0.098354525698802,0,0.0012965202331543,0,0,0,0
13,180.171317749457,12/17/2015 16:49:27,120.1708834465,2,1,0.999364197254181,3.33321809768677,0.033362276406585,0,0.10760405540574,0,0.00116682052612305,0,0,0,0
14,190.171348651741,12/17/2015 16:49:37,130.170914343771,2,1,0.999364197254181,3.34618306159973,0.036138529608888,0,0.11687629475935,0,0.00113444332964718,0,0,0,0
15,200.186953298689,12/17/2015 16:49:47,140.186519100994,2,1,0.999544024467468,3.35866165161133,0.038919101452726,0,0.126198074951016,0,0.00110201840288937,0,0,0,0
16,210.202161418896,12/17/2015 16:49:57,150.201727100901,2,1,0.999364197254181,3.37016797065735,0.04169533180033,0,0.135538675805456,0,0.00103716854937375,0,0,0,0
17,220.202177248672,12/17/2015 16:50:07,160.20174293569,2,1,0.999544024467468,3.38151216506958,0.044471561767484,0,0.1449110388386,0,0.00100479123648256,0,0,0,0
18,230.21802563215,12/17/2015 16:50:17,170.217591504629,2,1,0.999364197254181,3.39204621315002,0.047256439351785,0,0.154343038675958,0,0.00100479123648256,0,0,0,0
19,240.233420436914,12/17/2015 16:50:27,180.232986159019,2,1,0.999544024467468,3.4024178981781,0.050036980988907,0,0.163789455536567,0,0.000875091529451311,0,0,0,0
20,250.24905934913,12/17/2015 16:50:37,190.248625136397,2,1,0.999544024467468,3.41214156150818,0.05281754905498,0,0.173263690645,0,0.000875091529451311,0,0,0,0
21,260.264635008945,12/17/2015 16:50:47,200.264200836312,2,1,0.999544024467468,3.42170310020447,0.055598103587976,0,0.182764629859231,0,0.000810289406217635,0,0,0,0
