Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,5.00111057627798,06/26/2013 17:12:01,5.00111117276001,1,1,0,0.00524696847423911,0,0,0,0,-3.23732383549213E-05,0,0,0,0
2,10.0017970137341,06/26/2013 17:12:06,10.0017977054528,1,1,0,0.00524696847423911,0,0,0,0,-3.23732383549213E-05,0,0,0,0
3,10.0187641729319,06/26/2013 17:12:06,0.016547880117523,2,1,0.550741076469421,0.0701552033424377,0.000002531554891,0,0.000000177601748,0,0,0,0,0,0
4,10.1469414043941,06/26/2013 17:15:03,0.077492294760608,2,1,0.78522652387619,0.142185539007187,0.000011347165893,0,0.000000918027928,0,0,0,0,0,0
5,10.2418062320053,06/26/2013 17:16:30,0.109336838370296,2,1,0.72719818353653,0.141214340925217,0.000018358458034,0,0.000001966739188,0,0,0,0,0,0
6,10.3359232510106,06/26/2013 17:18:05,0.140477352483537,2,1,0.511508107185364,0.130207449197769,0.000024122152984,0,0.000002876877692,0,0,0,0,0,0
7,10.460922706581,06/26/2013 17:18:06,0.265478201516134,2,1,0.377751022577286,0.185727462172508,0.000039585670811,0,0.000005315103906,0,0.0111040025949478,0,0,0,0
8,10.6951137061414,06/26/2013 17:18:06,0.499667807614363,2,1,0.29946756362915,0.243027999997139,0.00006006834873,0,0.000009676510359,0,0.0225641094148159,0,0,0,0
9,10.8978023995874,06/26/2013 17:18:06,0.70235650607284,2,1,0.29946756362915,0.293368309736252,0.000076925934746,0,0.000014162837722,0,0.0326321721076965,0,0,0,0
10,11.1952577517316,06/26/2013 17:18:06,0.99981187826683,2,1,0.29946756362915,0.347593367099762,0.000101667119941,0,0.000022052824645,0,0.0434771850705147,0,0,0,0
11,11.5546191014698,06/26/2013 17:18:07,1.35917324304239,2,1,0.29946756362915,0.399714201688766,0.000131557581667,0,0.000033237327439,0,0.0539013519883156,0,0,0,0
12,12.0078580659739,06/26/2013 17:18:07,1.81241227772086,2,1,0.29946756362915,0.450054496526718,0.000169258106218,0,0.000049307845511,0,0.0639694109559059,0,0,0,0
13,12.6167137982934,06/26/2013 17:18:08,2.42126770428069,2,1,0.29946756362915,0.500718533992767,0.000219908769327,0,0.000073467074093,0,0.0741022154688835,0,0,0,0
14,13.4452045541715,06/26/2013 17:18:09,3.24975866065692,2,1,0.29965004324913,0.551220715045929,0.000288834683309,0,0.000109825207324,0,0.0842026546597481,0,0,0,0
15,14.5389449634191,06/26/2013 17:18:10,4.34349909496678,2,1,0.29946756362915,0.601561009883881,0.00037983459674,0,0.000162349196746,0,0.0942707136273384,0,0,0,0
16,15.9918752413404,06/26/2013 17:18:11,5.7964293378009,2,1,0.29965004324913,0.651577591896057,0.000500732875877,0,0.000238151707816,0,0.0688386633992195,0,0,0,0
17,17.7731904595364,06/26/2013 17:18:13,7.57774456100934,2,1,0.29946756362915,0.701594114303589,0.000648945230438,0,0.000338527895521,0,0.0371320359408855,0,0,0,0
18,19.9764562024977,06/26/2013 17:18:15,9.78101032903296,2,1,0.29965004324913,0.75225818157196,0.000832266031547,0,0.000471891778757,0,0.0240532755851746,0,0,0,0
19,22.4141415931221,06/26/2013 17:18:17,12.2186957397072,2,1,0.29946756362915,0.802274763584137,0.001035101772719,0,0.000629635260076,0,0.0211073160171509,0,0,0,0
20,25.2420330106441,06/26/2013 17:18:20,15.0465871121171,2,1,0.29965004324913,0.852615058422089,0.001270404091078,0,0.000824405282508,0,0.0184203498065472,0,0,0,0
21,25.4149063976103,06/26/2013 17:18:58,15.15599057792,2,1,0.0998356118798256,0.328169465065002,0.001279503154534,0,0.000832169879633,0,0,0,0,0,0
